customer_id,customer_name,region,plan,tenure_months,monthly_charge,signup_date
CUST-100175,Customer 0175,APAC,Enterprise,9,416.97,2022-07-23
CUST-100176,Customer 0176,APAC,Starter,44,37.77,2022-10-21
CUST-100177,Customer 0177,North America,Starter,33,30.43,2020-09-01
CUST-100178,Customer 0178,Middle East,Professional,27,84.2,2022-05-24
CUST-100179,Customer 0179,APAC,Starter,49,32.69,2023-12-15
CUST-100180,Customer 0180,India,Starter,60,36.64,2021-04-29
CUST-100181,Customer 0181,North America,Starter,54,35.73,2021-04-29
CUST-100182,Customer 0182,North America,Starter,62,39.29,2025-09-05
CUST-100183,Customer 0183,North America,Professional,66,90.11,2023-11-15
CUST-100184,Customer 0184,Europe,Professional,9,73.33,2021-07-28
CUST-100185,Customer 0185,APAC,Professional,44,67.07,2026-05-03
CUST-100186,Customer 0186,North America,Business,12,147.15,2022-07-23
CUST-100187,Customer 0187,North America,Business,21,156.44,2022-01-24
CUST-100188,Customer 0188,India,Professional,46,93.59,2023-07-18
CUST-100189,Customer 0189,North America,Enterprise,15,389.76,2020-09-01
CUST-100190,Customer 0190,North America,Starter,29,31.72,2022-03-25
CUST-100191,Customer 0191,Europe,Starter,37,37.06,2023-02-18
CUST-100192,Customer 0192,Middle East,Enterprise,72,504.61,2024-12-09
CUST-100193,Customer 0193,Middle East,Starter,15,29.74,2020-11-30
CUST-100194,Customer 0194,APAC,Starter,57,35.83,2025-06-07
CUST-100195,Customer 0195,India,Starter,44,39.47,2020-10-31
CUST-100196,Customer 0196,North America,Business,31,175.05,2026-04-03
CUST-100197,Customer 0197,India,Business,42,141.6,2026-05-03
CUST-100198,Customer 0198,Europe,Professional,38,79.54,2020-09-01
CUST-100199,Customer 0199,Middle East,Business,8,197.49,2023-09-16
CUST-100200,Customer 0200,Europe,Starter,11,33.22,2024-11-09
CUST-100201,Customer 0201,Europe,Starter,59,29.85,2023-04-19
CUST-100202,Customer 0202,APAC,Starter,45,36.19,2026-03-04
CUST-100203,Customer 0203,Middle East,Enterprise,65,450.48,2021-07-28
CUST-100204,Customer 0204,North America,Professional,44,73.79,2021-02-28
CUST-100205,Customer 0205,Europe,Enterprise,32,423.81,2024-08-11
CUST-100206,Customer 0206,Europe,Business,28,183.26,2025-09-05
CUST-100207,Customer 0207,Europe,Professional,22,75.65,2025-07-07
CUST-100208,Customer 0208,Middle East,Professional,7,85.61,2026-05-03
CUST-100209,Customer 0209,Middle East,Professional,31,76.85,2021-11-25
CUST-100210,Customer 0210,Middle East,Professional,50,68.58,2024-04-13
CUST-100211,Customer 0211,Europe,Business,59,135.57,2023-02-18
CUST-100212,Customer 0212,APAC,Starter,64,38.56,2025-01-08
CUST-100213,Customer 0213,Europe,Business,3,135.12,2021-08-27
CUST-100214,Customer 0214,Europe,Business,54,153.73,2025-05-08
CUST-100215,Customer 0215,Europe,Starter,4,32.52,2025-04-08
CUST-100216,Customer 0216,Europe,Professional,69,59.12,2024-09-10
CUST-100217,Customer 0217,India,Starter,40,33.88,2025-03-09
CUST-100218,Customer 0218,Europe,Starter,61,34.85,2026-05-03
CUST-100219,Customer 0219,North America,Business,55,129.61,2023-03-20
CUST-100220,Customer 0220,North America,Business,30,180.63,2022-11-20
CUST-100221,Customer 0221,APAC,Starter,71,45.6,2022-10-21
CUST-100222,Customer 0222,India,Starter,38,39.84,2025-02-07
CUST-100223,Customer 0223,India,Professional,48,82.17,2023-10-16
CUST-100224,Customer 0224,Europe,Starter,59,40.57,2022-02-23
CUST-100225,Customer 0225,Middle East,Professional,59,97.55,2020-12-30
CUST-100226,Customer 0226,Europe,Starter,42,36.25,2022-10-21
CUST-100227,Customer 0227,Middle East,Enterprise,11,420.2,2022-08-22
CUST-100228,Customer 0228,North America,Enterprise,53,539.8,2023-11-15
CUST-100229,Customer 0229,North America,Professional,17,77.83,2026-05-03
CUST-100230,Customer 0230,India,Professional,21,77.07,2022-03-25
CUST-100231,Customer 0231,Europe,Enterprise,30,465.63,2023-07-18
CUST-100232,Customer 0232,Middle East,Professional,61,85.26,2022-12-20
CUST-100233,Customer 0233,APAC,Starter,57,41.07,2023-03-20
CUST-100234,Customer 0234,APAC,Professional,65,78.11,2023-10-16
CUST-100235,Customer 0235,India,Professional,47,72.97,2025-09-05
CUST-100236,Customer 0236,Europe,Starter,56,35.77,2026-05-03
CUST-100237,Customer 0237,Middle East,Starter,46,41.91,2023-02-18
CUST-100238,Customer 0238,Middle East,Starter,60,39.51,2025-08-06
CUST-100239,Customer 0239,Europe,Professional,55,70.59,2024-12-09
CUST-100240,Customer 0240,Europe,Enterprise,53,391.54,2022-07-23
CUST-100241,Customer 0241,India,Starter,29,31.55,2025-01-08
CUST-100242,Customer 0242,Europe,Professional,54,81.8,2026-05-03
CUST-100243,Customer 0243,India,Business,14,181.82,2022-04-24
CUST-100244,Customer 0244,India,Starter,34,40.83,2024-01-14
CUST-100245,Customer 0245,Middle East,Professional,43,74.93,2024-09-10
CUST-100246,Customer 0246,India,Starter,58,32.58,2023-05-19
CUST-100247,Customer 0247,APAC,Professional,55,71.38,2024-07-12
CUST-100248,Customer 0248,India,Starter,49,41.67,2024-03-14
CUST-100249,Customer 0249,APAC,Starter,42,31.14,2022-08-22
CUST-100250,Customer 0250,Europe,Starter,30,32.83,2023-12-15
CUST-100251,Customer 0251,Europe,Business,49,135.57,2020-11-30
CUST-100252,Customer 0252,India,Professional,54,64.66,2023-12-15
CUST-100253,Customer 0253,Middle East,Starter,28,33.87,2021-02-28
CUST-100254,Customer 0254,India,Business,20,184.05,2022-06-23
CUST-100255,Customer 0255,Europe,Business,30,148.54,2024-05-13
CUST-100256,Customer 0256,Middle East,Starter,23,35.18,2024-02-13
CUST-100257,Customer 0257,India,Starter,58,38.84,2024-04-13
CUST-100258,Customer 0258,North America,Professional,50,81.98,2025-04-08
CUST-100259,Customer 0259,APAC,Professional,30,75.08,2024-10-10
CUST-100260,Customer 0260,North America,Professional,34,76.63,2024-02-13
CUST-100261,Customer 0261,India,Starter,20,36.84,2022-10-21
CUST-100262,Customer 0262,North America,Professional,50,82.38,2023-08-17
CUST-100263,Customer 0263,Europe,Professional,30,83.49,2023-08-17
CUST-100264,Customer 0264,Middle East,Enterprise,38,419.23,2021-10-26
CUST-100265,Customer 0265,Middle East,Enterprise,72,365.62,2026-03-04
CUST-100266,Customer 0266,North America,Business,39,162.25,2023-08-17
CUST-100267,Customer 0267,Middle East,Business,25,166.91,2025-07-07
CUST-100268,Customer 0268,Europe,Starter,49,35.98,2022-02-23
CUST-100269,Customer 0269,North America,Business,71,193.82,2024-01-14
CUST-100270,Customer 0270,North America,Professional,69,60.87,2021-06-28
CUST-100271,Customer 0271,APAC,Professional,47,85.83,2021-09-26
CUST-100272,Customer 0272,India,Starter,43,34.27,2020-12-30
CUST-100273,Customer 0273,India,Business,19,134.0,2022-06-23
CUST-100274,Customer 0274,APAC,Professional,57,77.81,2024-08-11
CUST-100275,Customer 0275,North America,Business,13,149.95,2021-12-25
CUST-100276,Customer 0276,Europe,Professional,54,71.93,2024-02-13
CUST-100277,Customer 0277,India,Starter,71,37.39,2021-02-28
CUST-100278,Customer 0278,India,Business,9,164.0,2024-02-13
CUST-100279,Customer 0279,North America,Professional,17,100.37,2023-08-17
CUST-100280,Customer 0280,North America,Business,34,164.78,2024-06-12
CUST-100281,Customer 0281,Europe,Professional,31,91.94,2025-10-05
CUST-100282,Customer 0282,Europe,Business,9,142.44,2020-10-31
CUST-100283,Customer 0283,APAC,Business,70,165.09,2022-02-23
CUST-100284,Customer 0284,Middle East,Professional,63,102.53,2024-09-10
CUST-100285,Customer 0285,Europe,Starter,36,26.31,2021-10-26
CUST-100286,Customer 0286,India,Business,45,165.96,2021-07-28
CUST-100287,Customer 0287,Europe,Starter,70,37.92,2020-10-01
CUST-100288,Customer 0288,APAC,Enterprise,72,359.59,2026-02-02
CUST-100289,Customer 0289,Europe,Professional,58,84.66,2022-01-24
CUST-100290,Customer 0290,North America,Business,14,174.75,2021-01-29
CUST-100291,Customer 0291,India,Enterprise,56,437.86,2022-02-23
CUST-100292,Customer 0292,APAC,Starter,69,31.74,2024-12-09
CUST-100293,Customer 0293,North America,Professional,15,72.2,2022-06-23
CUST-100294,Customer 0294,Middle East,Business,42,144.52,2026-01-03
CUST-100295,Customer 0295,North America,Professional,36,89.71,2025-09-05
CUST-100296,Customer 0296,Europe,Business,57,144.54,2020-11-30
CUST-100297,Customer 0297,North America,Enterprise,50,380.54,2021-12-25
CUST-100298,Customer 0298,Europe,Starter,5,35.7,2021-09-26
CUST-100299,Customer 0299,North America,Professional,46,89.39,2021-01-29
CUST-100300,Customer 0300,India,Enterprise,63,396.98,2021-05-29
CUST-100301,Customer 0301,India,Starter,24,30.69,2024-01-14
CUST-100302,Customer 0302,Europe,Professional,63,73.42,2022-04-24
CUST-100303,Customer 0303,India,Business,71,136.19,2022-07-23
CUST-100304,Customer 0304,Middle East,Starter,24,37.87,2021-08-27
CUST-100305,Customer 0305,APAC,Professional,4,81.61,2025-09-05
CUST-100306,Customer 0306,North America,Starter,42,35.76,2024-09-10
CUST-100307,Customer 0307,Europe,Enterprise,28,452.37,2022-12-20
CUST-100308,Customer 0308,North America,Starter,24,28.17,2024-10-10
CUST-100309,Customer 0309,Europe,Professional,66,86.47,2024-08-11
CUST-100310,Customer 0310,Europe,Enterprise,68,468.99,2021-07-28
CUST-100311,Customer 0311,Middle East,Professional,57,72.11,2023-02-18
CUST-100312,Customer 0312,Middle East,Professional,41,76.69,2025-12-04
CUST-100313,Customer 0313,APAC,Professional,67,68.15,2026-02-02
CUST-100314,Customer 0314,North America,Enterprise,7,406.85,2025-04-08
CUST-100315,Customer 0315,India,Business,30,154.2,2024-01-14
CUST-100316,Customer 0316,North America,Enterprise,25,427.33,2022-10-21
CUST-100317,Customer 0317,Middle East,Business,36,144.42,2023-02-18
CUST-100318,Customer 0318,Europe,Professional,67,89.22,2024-06-12
CUST-100319,Customer 0319,APAC,Starter,56,29.27,2020-12-30
CUST-100320,Customer 0320,North America,Starter,50,33.62,2021-11-25
CUST-100321,Customer 0321,India,Professional,37,87.52,2026-04-03
CUST-100322,Customer 0322,Middle East,Business,19,143.7,2020-10-01
CUST-100323,Customer 0323,Europe,Starter,30,41.05,2020-11-30
CUST-100324,Customer 0324,APAC,Starter,5,29.09,2023-02-18
CUST-100325,Customer 0325,Middle East,Starter,50,36.77,2023-11-15
CUST-100326,Customer 0326,Europe,Business,27,161.24,2024-02-13
CUST-100327,Customer 0327,APAC,Starter,12,37.14,2026-03-04
CUST-100328,Customer 0328,Europe,Professional,20,75.01,2023-12-15
CUST-100329,Customer 0329,North America,Enterprise,21,345.6,2022-04-24
CUST-100330,Customer 0330,North America,Business,32,187.05,2020-12-30
CUST-100331,Customer 0331,APAC,Professional,53,76.23,2021-05-29
CUST-100332,Customer 0332,Middle East,Starter,38,28.87,2022-09-21
CUST-100333,Customer 0333,Europe,Professional,18,82.32,2021-09-26
CUST-100334,Customer 0334,North America,Professional,41,65.33,2020-09-01
CUST-100335,Customer 0335,India,Starter,62,42.1,2024-05-13
CUST-100336,Customer 0336,Europe,Business,39,115.91,2025-11-04
CUST-100337,Customer 0337,North America,Starter,33,37.91,2024-09-10
CUST-100338,Customer 0338,Middle East,Professional,50,83.4,2023-12-15
CUST-100339,Customer 0339,Middle East,Professional,15,81.32,2025-05-08
CUST-100340,Customer 0340,APAC,Enterprise,43,333.07,2022-04-24
CUST-100341,Customer 0341,North America,Business,49,157.9,2022-08-22
CUST-100342,Customer 0342,Europe,Starter,59,28.44,2021-04-29
CUST-100343,Customer 0343,Europe,Starter,35,34.12,2022-03-25
CUST-100344,Customer 0344,Middle East,Business,8,147.84,2025-02-07
CUST-100345,Customer 0345,Middle East,Business,12,159.92,2024-06-12
CUST-100346,Customer 0346,Middle East,Professional,57,77.11,2023-09-16
CUST-100347,Customer 0347,India,Starter,72,35.28,2021-06-28
CUST-100348,Customer 0348,India,Business,35,173.08,2020-10-01
CUST-100349,Customer 0349,India,Starter,62,27.33,2023-07-18
CUST-100350,Customer 0350,Middle East,Professional,70,79.17,2024-04-13
CUST-100351,Customer 0351,North America,Professional,19,82.88,2020-12-30
CUST-100352,Customer 0352,Europe,Enterprise,6,455.01,2020-09-01
CUST-100353,Customer 0353,North America,Business,60,170.59,2023-10-16
CUST-100354,Customer 0354,North America,Professional,21,71.5,2021-05-29
CUST-100355,Customer 0355,India,Professional,48,80.87,2021-11-25
CUST-100356,Customer 0356,Europe,Business,45,116.07,2025-09-05
CUST-100357,Customer 0357,Europe,Enterprise,49,390.47,2025-09-05
CUST-100358,Customer 0358,APAC,Professional,39,78.7,2022-07-23
CUST-100359,Customer 0359,North America,Enterprise,52,343.22,2021-02-28
CUST-100360,Customer 0360,Europe,Business,68,162.08,2024-09-10
CUST-100361,Customer 0361,APAC,Business,44,157.53,2024-03-14
CUST-100362,Customer 0362,APAC,Business,4,148.64,2024-04-13
CUST-100363,Customer 0363,APAC,Starter,17,36.23,2021-07-28
CUST-100364,Customer 0364,APAC,Professional,16,91.36,2021-01-29
CUST-100365,Customer 0365,India,Starter,6,36.75,2023-05-19
CUST-100366,Customer 0366,APAC,Enterprise,8,479.66,2023-04-19
CUST-100367,Customer 0367,India,Starter,15,37.03,2023-12-15
CUST-100368,Customer 0368,Europe,Starter,14,26.04,2024-05-13
CUST-100369,Customer 0369,North America,Starter,45,30.52,2020-10-31
CUST-100370,Customer 0370,Middle East,Starter,41,39.36,2020-09-01
CUST-100371,Customer 0371,Europe,Professional,5,87.65,2025-12-04
CUST-100372,Customer 0372,APAC,Starter,25,41.29,2024-01-14
CUST-100373,Customer 0373,India,Professional,54,74.44,2026-04-03
CUST-100374,Customer 0374,APAC,Business,31,166.19,2022-07-23
CUST-100375,Customer 0375,India,Professional,19,63.29,2022-02-23
CUST-100376,Customer 0376,India,Professional,61,82.59,2022-08-22
CUST-100377,Customer 0377,India,Starter,57,35.81,2024-03-14
CUST-100378,Customer 0378,Middle East,Business,6,141.9,2026-05-03
CUST-100379,Customer 0379,Middle East,Professional,26,72.58,2024-02-13
CUST-100380,Customer 0380,Europe,Starter,65,34.02,2024-01-14
CUST-100381,Customer 0381,India,Professional,65,79.29,2025-02-07
CUST-100382,Customer 0382,North America,Starter,72,27.79,2020-11-30
CUST-100383,Customer 0383,Middle East,Professional,18,74.04,2025-08-06
CUST-100384,Customer 0384,Middle East,Enterprise,58,437.81,2023-07-18
CUST-100385,Customer 0385,Middle East,Professional,3,70.47,2022-03-25
CUST-100386,Customer 0386,North America,Professional,45,70.45,2022-09-21
CUST-100387,Customer 0387,APAC,Professional,69,87.47,2025-10-05
CUST-100388,Customer 0388,Europe,Starter,46,33.66,2024-09-10
CUST-100389,Customer 0389,Europe,Enterprise,4,477.29,2023-10-16
CUST-100390,Customer 0390,India,Professional,52,67.86,2023-09-16
CUST-100391,Customer 0391,India,Starter,34,36.51,2020-09-01
CUST-100392,Customer 0392,Middle East,Enterprise,56,496.27,2025-06-07
CUST-100393,Customer 0393,North America,Professional,21,86.17,2025-03-09
CUST-100394,Customer 0394,India,Professional,58,73.11,2021-06-28
CUST-100395,Customer 0395,APAC,Business,20,159.57,2021-11-25
CUST-100396,Customer 0396,India,Professional,24,72.76,2020-11-30
CUST-100397,Customer 0397,Europe,Starter,53,38.14,2021-10-26
CUST-100398,Customer 0398,APAC,Business,54,134.04,2024-04-13
CUST-100399,Customer 0399,Middle East,Starter,18,30.66,2024-02-13
CUST-100400,Customer 0400,Europe,Enterprise,6,476.6,2022-07-23
CUST-100401,Customer 0401,Middle East,Professional,69,72.76,2026-03-04
CUST-100402,Customer 0402,Middle East,Starter,17,32.43,2025-07-07
CUST-100403,Customer 0403,North America,Starter,28,28.2,2024-09-10
